"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"8/10/2022","POS PURCH - PILOT #1005      5541               NV FERNLEY         PILOT #1005        US","POS PURCH - PILOT #1005      5541               NV FERNLEY         PILOT #1005        US","2.99","debit","Gas & Fuel","Checking","",""
"8/10/2022","POS PURCH - PILOT_01005      5542               NV FERNLEY         PILOT_01005        US","POS PURCH - PILOT_01005      5542               NV FERNLEY         PILOT_01005        US","62.20","debit","Gas & Fuel","Checking","",""
"8/10/2022","SHR DRAFT - SHARE DRAFT 995012","SHR DRAFT - SHARE DRAFT 995012","750.00","debit","Mortgage & Rent","Checking","",""
"8/09/2022","POS PURCH - MCDONALD'S F1493 5814               NV WENDOVER        1120 W WENDOVER BLVUS","POS PURCH - MCDONALD'S F1493 5814               NV WENDOVER        1120 W WENDOVER BLVUS","9.09","debit","Fast Food","Checking","",""
"8/09/2022","POS PURCH - SQ *SUGAR HOUSE  5814               UT Salt Lake Cit   SQ *SUGAR HOUSE COFUS","POS PURCH - SQ *SUGAR HOUSE  5814               UT Salt Lake Cit   SQ *SUGAR HOUSE COFUS","10.33","debit","Restaurants","Checking","",""
"8/09/2022","POS PURCH - SQ *SUGAR HOUSE  5814               UT Salt Lake Cit   SQ *SUGAR HOUSE COFUS","POS PURCH - SQ *SUGAR HOUSE  5814               UT Salt Lake Cit   SQ *SUGAR HOUSE COFUS","10.88","debit","Restaurants","Checking","",""
"8/09/2022","POS PURCH - NOMAD EAST       5812               UT SALT LAKE CTY   NOMAD EAST         US","POS PURCH - NOMAD EAST       5812               UT SALT LAKE CTY   NOMAD EAST         US","20.86","debit","Restaurants","Checking","",""
"8/09/2022","POS PURCH - REBEL 913        5542               UT SALT LAKE CIT   502 EAST 2100 SOUTHUS","POS PURCH - REBEL 913        5542               UT SALT LAKE CIT   502 EAST 2100 SOUTHUS","50.92","debit","Gas & Fuel","Checking","",""
"8/09/2022","POS PURCH - APPLE COM BILL   4899               CA CUPERTINO       APPLE COM BILL     US","POS PURCH - APPLE COM BILL   4899               CA CUPERTINO       APPLE COM BILL     US","5.46","debit","Electronics & Software","Checking","",""
"8/09/2022","POS PURCH - SQ *SUGAR HOUSE  5814               UT Salt Lake Cit   SQ *SUGAR HOUSE COFUS","POS PURCH - SQ *SUGAR HOUSE  5814               UT Salt Lake Cit   SQ *SUGAR HOUSE COFUS","8.65","debit","Restaurants","Checking","",""
"8/08/2022","POS PURCH - SQ *SUGAR HOUSE  5814               UT Salt Lake Cit   SQ *SUGAR HOUSE COFUS","POS PURCH - SQ *SUGAR HOUSE  5814               UT Salt Lake Cit   SQ *SUGAR HOUSE COFUS","11.04","debit","Restaurants","Checking","",""
"8/08/2022","POS PURCH - TST* Niccolis    5812               UT Salt Lake Cit   TST* Niccolis      US","POS PURCH - TST* Niccolis    5812               UT Salt Lake Cit   TST* Niccolis      US","22.73","debit","Restaurants","Checking","",""
"8/08/2022","POS PURCH - SQ *SUGAR HOUSE  5814               UT Salt Lake Cit   SQ *SUGAR HOUSE COFUS","POS PURCH - SQ *SUGAR HOUSE  5814               UT Salt Lake Cit   SQ *SUGAR HOUSE COFUS","10.06","debit","Restaurants","Checking","",""
"8/08/2022","ACH TRANS - S00249459530041 ;080822;XFER","ACH TRANS - S00249459530041 ;080822;XFER","600.00","credit","Transfer","Checking","",""
"8/08/2022","POS PURCH - AIRBNB  HMRQ2SKY 4722               CA AIRBNB.COM      AIRBNB  HMRQ2SKYTE US","POS PURCH - AIRBNB  HMRQ2SKY 4722               CA AIRBNB.COM      AIRBNB  HMRQ2SKYTE US","114.86","debit","Hotel","Checking","",""
"8/07/2022","POS PURCH - AIRBNB  HM93SWPA 4722               CA AIRBNB.COM      AIRBNB  HM93SWPAFJ US","POS PURCH - AIRBNB  HM93SWPA 4722               CA AIRBNB.COM      AIRBNB  HM93SWPAFJ US","118.20","debit","Hotel","Checking","",""
"8/07/2022","POS PURCH - SQ *HEALTHY BEIN 5814               WY Jackson         SQ *HEALTHY BEING CUS","POS PURCH - SQ *HEALTHY BEIN 5814               WY Jackson         SQ *HEALTHY BEING CUS","12.10","debit","Public Transportation","Checking","",""
"8/07/2022","POS PURCH - COWBOY COFFEE CO 6012               WY JACKSON HOLE    125 NORTH CACHE STRUS","POS PURCH - COWBOY COFFEE CO 6012               WY JACKSON HOLE    125 NORTH CACHE STRUS","14.58","debit","Coffee Shops","Checking","",""
"8/07/2022","POS PURCH - TETON MOUNTAIN L 5812               WY 307-2016066     TETON MOUNTAIN LODGUS","POS PURCH - TETON MOUNTAIN L 5812               WY 307-2016066     TETON MOUNTAIN LODGUS","34.16","debit","Restaurants","Checking","",""
"8/07/2022","POS PURCH - SNAKE RIVER BREW 5812               WY 307-7332337     SNAKE RIVER BREWINGUS","POS PURCH - SNAKE RIVER BREW 5812               WY 307-7332337     SNAKE RIVER BREWINGUS","30.00","debit","Restaurants","Checking","",""
"8/06/2022","POS PURCH - TETON VILLAGE SP 5941               WY TETON VILLAGE   TETON VILLAGE SPORTUS","POS PURCH - TETON VILLAGE SP 5941               WY TETON VILLAGE   TETON VILLAGE SPORTUS","12.96","debit","Furnishings","Checking","",""
"8/06/2022","POS PURCH - ZOLA REGISTRY 10 5399               NY HTTPSWWW.ZOLA   ZOLA REGISTRY 10100US","POS PURCH - ZOLA REGISTRY 10 5399               NY HTTPSWWW.ZOLA   ZOLA REGISTRY 10100US","153.60","debit","Gift","Checking","",""
"8/06/2022","POS PURCH - TST* Wind River  5812               WY Pinedale        TST* Wind River BreUS","POS PURCH - TST* Wind River  5812               WY Pinedale        TST* Wind River BreUS","21.04","debit","Restaurants","Checking","",""
"8/06/2022","POS PURCH - GREAT OUTDOOR SH 5941               WY PINEDALE        GREAT OUTDOOR SHOP US","POS PURCH - GREAT OUTDOOR SH 5941               WY PINEDALE        GREAT OUTDOOR SHOP US","42.59","debit","Shopping","Checking","",""
"8/05/2022","POS PURCH - COUNTRY LANE GRO 5542               WY PINEDALE        1168 HWY 191       US","POS PURCH - COUNTRY LANE GRO 5542               WY PINEDALE        1168 HWY 191       US","32.92","debit","Gas & Fuel","Checking","",""
"8/05/2022","POS PURCH - COUNTRY LANE GRO 5541               WY PINEDALE        1168 HWY 191       US","POS PURCH - COUNTRY LANE GRO 5541               WY PINEDALE        1168 HWY 191       US","11.57","debit","Gas & Fuel","Checking","",""
"8/05/2022","POS PURCH - GREAT OUTDOOR SH 5941               WY PINEDALE        GREAT OUTDOOR SHOP US","POS PURCH - GREAT OUTDOOR SH 5941               WY PINEDALE        GREAT OUTDOOR SHOP US","21.79","debit","Shopping","Checking","",""
"8/05/2022","POS PURCH - TST* Wind River  5812               WY Pinedale        TST* Wind River BreUS","POS PURCH - TST* Wind River  5812               WY Pinedale        TST* Wind River BreUS","38.44","debit","Restaurants","Checking","",""
"8/04/2022","POS PURCH - OBO`S MARKET PIN 5411               WY PINEDALE        212 E PINE ST      US","POS PURCH - OBO`S MARKET PIN 5411               WY PINEDALE        212 E PINE ST      US","9.75","debit","Groceries","Checking","",""
"8/04/2022","POS PURCH - Spotify USA      4899               NY 877-7781161     Spotify USA        US","POS PURCH - Spotify USA      4899               NY 877-7781161     Spotify USA        US","10.94","debit","Music","Checking","",""
"8/03/2022","TRANSFER - SELF SERVICE TRANSFER               FROM TBCROZIER SHARE 75","TRANSFER - SELF SERVICE TRANSFER               FROM TBCROZIER SHARE 75","100.00","credit","Transfer","Checking","",""
"8/03/2022","ACH TRANS - USAA P&C        ;080222;AUTOPAY","ACH TRANS - USAA P&C        ;080222;AUTOPAY","118.24","debit","Bills & Utilities","Checking","",""
"8/03/2022","ACH TRANS - ALLIANT CU      ;080122;XFER","ACH TRANS - ALLIANT CU      ;080122;XFER","900.00","debit","Mortgage & Rent","Checking","",""
"8/02/2022","POS PURCH - SCARLET HOTEL LI 7011               NE 800-4907332     SCARLET HOTEL LINCOUS","POS PURCH - SCARLET HOTEL LI 7011               NE 800-4907332     SCARLET HOTEL LINCOUS","143.59","debit","Hotel","Checking","",""
"8/02/2022","POS PURCH - GREAT OUTDOOR SH 5941               WY PINEDALE        GREAT OUTDOOR SHOP US","POS PURCH - GREAT OUTDOOR SH 5941               WY PINEDALE        GREAT OUTDOOR SHOP US","8.84","debit","Shopping","Checking","",""
"8/02/2022","POS PURCH - GREAT OUTDOOR SH 5941               WY PINEDALE        GREAT OUTDOOR SHOP US","POS PURCH - GREAT OUTDOOR SH 5941               WY PINEDALE        GREAT OUTDOOR SHOP US","171.43","debit","Shopping","Checking","",""
"8/01/2022","POS PURCH - CKO*Patreon* Mem 5815               CA 833-9728766     CKO*Patreon* MemberUS","POS PURCH - CKO*Patreon* Mem 5815               CA 833-9728766     CKO*Patreon* MemberUS","8.46","debit","Podcast","Checking","","MSSP"
"8/01/2022","POS PURCH - SAFEWAY FUEL2466 5542               WY LARAMIE         SAFEWAY FUEL2466   US","POS PURCH - SAFEWAY FUEL2466 5542               WY LARAMIE         SAFEWAY FUEL2466   US","32.81","debit","Gas & Fuel","Checking","",""
"8/01/2022","POS PURCH - GOOGLE *CLOUD Q9 7311               CA Mountain View   1600 Amphitheatre PUS","POS PURCH - GOOGLE *CLOUD Q9 7311               CA Mountain View   1600 Amphitheatre PUS","0.01","debit","Newspapers & Magazines","Checking","",""
"8/01/2022","POS PURCH - THE HUB CAFE     5812               NE LINCOLN         THE HUB CAFE       US","POS PURCH - THE HUB CAFE     5812               NE LINCOLN         THE HUB CAFE       US","32.41","debit","Restaurants","Checking","",""
"8/01/2022","POS PURCH - SQ *PINE COFFEE  5814               WY Pinedale        SQ *PINE COFFEE SUPUS","POS PURCH - SQ *PINE COFFEE  5814               WY Pinedale        SQ *PINE COFFEE SUPUS","8.54","debit","Coffee Shops","Checking","",""
"8/01/2022","POS PURCH - HEART AND SOUL C 5812               WY PINEDALE        HEART AND SOUL CAFEUS","POS PURCH - HEART AND SOUL C 5812               WY PINEDALE        HEART AND SOUL CAFEUS","19.30","debit","Coffee Shops","Checking","",""
"8/01/2022","POS PURCH - JERSEY MIKES 250 5812               MO WILDWOOD        JERSEY MIKES 25003 US","POS PURCH - JERSEY MIKES 250 5812               MO WILDWOOD        JERSEY MIKES 25003 US","8.67","debit","Fast Food","Checking","",""
"8/01/2022","POS PURCH - APPLE.COM/BILL   5735               CA 866-712-7753    APPLE.COM/BILL     US","POS PURCH - APPLE.COM/BILL   5735               CA 866-712-7753    APPLE.COM/BILL     US","8.73","debit","Electronics & Software","Checking","",""
"8/01/2022","POS PURCH - SQ *COALCREEK TA 5499               WY LARAMIE         SQ *COALCREEK TAP  US","POS PURCH - SQ *COALCREEK TA 5499               WY LARAMIE         SQ *COALCREEK TAP  US","17.07","debit","Restaurants","Checking","",""
"7/31/2022","DIVIDEND","DIVIDEND","4.33","credit","Investments","Savings","",""
"7/31/2022","POS PURCH - MCDONALD'S F3317 5814               NE NORTH PLATTE    3211 S NEWBURY ROADUS","POS PURCH - MCDONALD'S F3317 5814               NE NORTH PLATTE    3211 S NEWBURY ROADUS","1.07","debit","Fast Food","Checking","",""
"7/31/2022","POS PURCH - LOVE'S #390      5542               NE NORTH PLATTE    LOVE'S #390        US","POS PURCH - LOVE'S #390      5542               NE NORTH PLATTE    LOVE'S #390        US","43.67","debit","Gas & Fuel","Checking","",""
"7/31/2022","POS PURCH - SQ *ATMOSPHERE M 5691               WY LARAMIE         SQ *ATMOSPHERE M   US","POS PURCH - SQ *ATMOSPHERE M 5691               WY LARAMIE         SQ *ATMOSPHERE M   US","130.65","debit","Restaurants","Checking","",""
"7/31/2022","DIVIDEND","DIVIDEND","7.99","credit","Investments","Savings","",""
"7/30/2022","POS PURCH - ORACLE PETROLEUM 5542               MO LAKE SAINT LO   11400 VETERANS MEMOUS","POS PURCH - ORACLE PETROLEUM 5542               MO LAKE SAINT LO   11400 VETERANS MEMOUS","44.55","debit","Gas & Fuel","Checking","",""
"7/30/2022","POS PURCH - SHELL OIL 575273 5542               TN NASHVILLE       SHELL OIL 575273870US","POS PURCH - SHELL OIL 575273 5542               TN NASHVILLE       SHELL OIL 575273870US","38.60","debit","Gas & Fuel","Checking","",""
"7/30/2022","POS PURCH - SQ *PORTLAND BRE 5814               TN Nashville       SQ *PORTLAND BREW CUS","POS PURCH - SQ *PORTLAND BRE 5814               TN Nashville       SQ *PORTLAND BREW CUS","13.66","debit","Coffee Shops","Checking","",""
"7/30/2022","REI","POS PURCH - REI #151 O       5941               KS OVERLAND PARK   6281 W 135TH ST    US","241.20","debit","Gift","Checking","",""
"7/30/2022","DEP CASH - CA 415-800-5959    AIRBNB  HMJKY53WXT US","DEP CASH - CA 415-800-5959    AIRBNB  HMJKY53WXT US","25.00","credit","Income","Checking","",""
"7/30/2022","POS PURCH - PILOT #238       5541               IA PERCIVAL        PILOT #238         US","POS PURCH - PILOT #238       5541               IA PERCIVAL        PILOT #238         US","30.00","debit","Gas & Fuel","Checking","",""
"7/29/2022","POS PURCH - SHELL SERVICE ST 5541               TN NASHVILLE       SHELL SERVICE STATIUS","POS PURCH - SHELL SERVICE ST 5541               TN NASHVILLE       SHELL SERVICE STATIUS","8.89","debit","Gas & Fuel","Checking","",""
"7/29/2022","POS PURCH - HOS CORP AMER    5814               TN NASHVILLE       HOS CORP AMER      US","POS PURCH - HOS CORP AMER    5814               TN NASHVILLE       HOS CORP AMER      US","2.28","debit","HCA Cafe","Checking","",""
"7/29/2022","POS PURCH - SAMHARRIS.ORG    5734               CA 718-313-3586    SAMHARRIS.ORG      US","POS PURCH - SAMHARRIS.ORG    5734               CA 718-313-3586    SAMHARRIS.ORG      US","3.00","debit","Podcast","Checking","",""
"7/29/2022","POS PURCH - BAJA BURRITO     5812               TN NASHVILLE       BAJA BURRITO       US","POS PURCH - BAJA BURRITO     5812               TN NASHVILLE       BAJA BURRITO       US","12.22","debit","Restaurants","Checking","",""
"7/29/2022","POS PURCH - HOS CORP AMER    5814               TN NASHVILLE       HOS CORP AMER      US","POS PURCH - HOS CORP AMER    5814               TN NASHVILLE       HOS CORP AMER      US","8.36","debit","HCA Cafe","Checking","",""
"7/29/2022","ACH TRANS - HCA Corporate   ;072922;PR PAYMENT","ACH TRANS - HCA Corporate   ;072922;PR PAYMENT","3669.30","credit","Paycheck","Checking","",""
"7/28/2022","POS PURCH - AIRBNB  HMJKY53W 4722               CA AIRBNB.COM      AIRBNB  HMJKY53WXT US","POS PURCH - AIRBNB  HMJKY53W 4722               CA AIRBNB.COM      AIRBNB  HMJKY53WXT US","131.24","debit","Hotel","Checking","",""
"7/28/2022","TRANSFER - SELF SERVICE TRANSFER FROM SHARE 01","TRANSFER - SELF SERVICE TRANSFER FROM SHARE 01","400.00","credit","Transfer","Checking","",""
"7/28/2022","POS PURCH - Evernote         5817               CA 650-2570885     Evernote           US","POS PURCH - Evernote         5817               CA 650-2570885     Evernote           US","76.46","debit","Electronics & Software","Checking","",""
"7/28/2022","TRANSFER - SELF SERVICE TRANSFER TO SHARE 75","TRANSFER - SELF SERVICE TRANSFER TO SHARE 75","400.00","debit","Transfer","Savings","",""
"7/28/2022","TRANSFER - OVERDRAFT TRANSFER TO SHARE 75","TRANSFER - OVERDRAFT TRANSFER TO SHARE 75","8.20","debit","Transfer","Savings","",""
"7/28/2022","POS PURCH - TWO MEN AND A TR 4214               TN 6155955929      TWO MEN AND A TRUCKUS","POS PURCH - TWO MEN AND A TR 4214               TN 6155955929      TWO MEN AND A TRUCKUS","827.50","debit","Home Services","Checking","",""
"7/28/2022","TRANSFER - OVERDRAFT TRANSFER FROM SHARE 01","TRANSFER - OVERDRAFT TRANSFER FROM SHARE 01","8.20","credit","Transfer","Checking","",""
"7/28/2022","POS PURCH - HELP.HBOMAX.COM  5815               NY HTTPSHBOMAX.C   HELP.HBOMAX.COM    US","POS PURCH - HELP.HBOMAX.COM  5815               NY HTTPSHBOMAX.C   HELP.HBOMAX.COM    US","8.20","debit","Entertainment","Checking","",""
"7/27/2022","TRANSFER - OVERDRAFT TRANSFER TO SHARE 75","TRANSFER - OVERDRAFT TRANSFER TO SHARE 75","59.98","debit","Transfer","Savings","",""
"7/27/2022","TRANSFER - OVERDRAFT TRANSFER FROM SHARE 01","TRANSFER - OVERDRAFT TRANSFER FROM SHARE 01","59.98","credit","Transfer","Checking","",""
"7/27/2022","REI","POS PURCH - REI #64 BR       5941               TN BRENTWOOD       261 FRANKLIN RD    US","166.71","debit","Gift","Checking","",""
"7/26/2022","TRANSFER - SELF SERVICE TRANSFER FROM SHARE 75","TRANSFER - SELF SERVICE TRANSFER FROM SHARE 75","600.00","credit","Transfer","Savings","",""
"7/26/2022","POS PURCH - SQ *STAR BAGEL C 5812               TN Nashville       SQ *STAR BAGEL CAFEUS","POS PURCH - SQ *STAR BAGEL C 5812               TN Nashville       SQ *STAR BAGEL CAFEUS","3.00","debit","Fast Food","Checking","",""
"7/26/2022","POS PURCH - CUBESMART 4289   4225               TN BRENTWOOD       CUBESMART 4289     US","POS PURCH - CUBESMART 4289   4225               TN BRENTWOOD       CUBESMART 4289     US","177.50","debit","Home Services","Checking","",""
"7/26/2022","POS PURCH - WM SUPERCENTER # 5411               TN NASHVILLE       Wal-Mart Super CentUS","POS PURCH - WM SUPERCENTER # 5411               TN NASHVILLE       Wal-Mart Super CentUS","135.38","debit","Shopping","Checking","",""
"7/26/2022","TRANSFER - SELF SERVICE TRANSFER TO SHARE 01","TRANSFER - SELF SERVICE TRANSFER TO SHARE 01","600.00","debit","Transfer","Checking","",""
"7/26/2022","POS PURCH - THE HOME DEPOT # 6012               TN NASHVILLE       2535 POWELL  AVE   US","POS PURCH - THE HOME DEPOT # 6012               TN NASHVILLE       2535 POWELL  AVE   US","27.27","debit","Home Improvement","Checking","",""
"7/26/2022","ACH TRANS - NES POWER       ;072522;UTILITY","ACH TRANS - NES POWER       ;072522;UTILITY","128.00","debit","Utilities","Checking","",""
"7/26/2022","POS PURCH - APPLE COM BILL   4899               CA CUPERTINO       APPLE COM BILL     US","POS PURCH - APPLE COM BILL   4899               CA CUPERTINO       APPLE COM BILL     US","0.99","debit","Electronics & Software","Checking","",""
"7/26/2022","ACH TRANS - NES POWER       ;072522;UTILITY","ACH TRANS - NES POWER       ;072522;UTILITY","132.00","debit","Utilities","Checking","",""
"7/25/2022","POS PURCH - DARRELL WALTRIP  5511               TN FRANKLIN        DARRELL WALTRIP HONUS","POS PURCH - DARRELL WALTRIP  5511               TN FRANKLIN        DARRELL WALTRIP HONUS","1000.76","debit","Service & Parts","Checking","",""
"7/24/2022","POS PURCH - HART ACE HDWE    5251               TN NASHVILLE       HART ACE HDWE      US","POS PURCH - HART ACE HDWE    5251               TN NASHVILLE       HART ACE HDWE      US","7.64","debit","Home Improvement","Checking","",""
"7/24/2022","POS PURCH - TST* DeSano Pizz 5812               TN Bellevue        TST* DeSano PizzeriUS","POS PURCH - TST* DeSano Pizz 5812               TN Bellevue        TST* DeSano PizzeriUS","81.66","debit","Restaurants","Checking","",""
"7/24/2022","Target","POS PURCH - TARGET T-0146    5411               TN Nashville       26 White Bridge Rd US","78.66","debit","Groceries","Checking","",""
"7/23/2022","POS PURCH - SHELL OIL 910026 5542               TN BRENTWOOD       SHELL OIL 910026882US","POS PURCH - SHELL OIL 910026 5542               TN BRENTWOOD       SHELL OIL 910026882US","34.03","debit","Gas & Fuel","Checking","",""
"7/23/2022","POS PURCH - NASHVILLE GUN &  5941               TN NASHVILLE       NASHVILLE GUN & KNIUS","POS PURCH - NASHVILLE GUN &  5941               TN NASHVILLE       NASHVILLE GUN & KNIUS","63.37","debit","Restaurants","Checking","",""
"7/22/2022","TOTAL FEES FOR THIS PERIOD","TOTAL FEES FOR THIS PERIOD","0.00","credit","Bank Fee","CreditCard ","",""
"7/22/2022","TOTAL INTEREST FOR THIS PERIOD","TOTAL INTEREST FOR THIS PERIOD","0.00","credit","Finance Charge","CreditCard ","",""
"7/22/2022","POS PURCH - SHELL SERVICE ST 5541               TN BRENTWOOD       SHELL SERVICE STATIUS","POS PURCH - SHELL SERVICE ST 5541               TN BRENTWOOD       SHELL SERVICE STATIUS","4.27","debit","Gas & Fuel","Checking","",""
"7/21/2022","POS PURCH - HOS CORP AMER    5814               TN NASHVILLE       HOS CORP AMER      US","POS PURCH - HOS CORP AMER    5814               TN NASHVILLE       HOS CORP AMER      US","2.28","debit","HCA Cafe","Checking","",""
"7/20/2022","POS PURCH - ICI* FEE METROWA 9399               MA 866-342-9266    ICI* FEE METROWATERUS","POS PURCH - ICI* FEE METROWA 9399               MA 866-342-9266    ICI* FEE METROWATERUS","2.01","debit","Fees & Charges","Checking","",""
"7/20/2022","POS PURCH - HOS CORP AMER    5814               TN NASHVILLE       HOS CORP AMER      US","POS PURCH - HOS CORP AMER    5814               TN NASHVILLE       HOS CORP AMER      US","7.18","debit","HCA Cafe","Checking","",""
"7/20/2022","ACH TRANS - Mobile Deposit  ,072022,Check Dep","ACH TRANS - Mobile Deposit  ,072022,Check Dep","157.35","credit","Transfer","Checking","",""
"7/19/2022","POS PURCH - METRO WATE       4900               TN NASHVILLE       1600 SECOND AVE NORUS","POS PURCH - METRO WATE       4900               TN NASHVILLE       1600 SECOND AVE NORUS","71.86","debit","Utilities","Checking","",""
"7/19/2022","POS PURCH - SQ *STAR BAGEL C 5812               TN Nashville       SQ *STAR BAGEL CAFEUS","POS PURCH - SQ *STAR BAGEL C 5812               TN Nashville       SQ *STAR BAGEL CAFEUS","3.00","debit","Fast Food","Checking","",""
"7/19/2022","POS PURCH - TRADER JOE'S #73 5411               TN BELLE MEADE     90 WHITE BRIDGE RD US","POS PURCH - TRADER JOE'S #73 5411               TN BELLE MEADE     90 WHITE BRIDGE RD US","73.91","debit","Groceries","Checking","",""
"7/18/2022","POS PURCH - FOOD HALL        5814               VA ARLINGTON       FOOD HALL          US","POS PURCH - FOOD HALL        5814               VA ARLINGTON       FOOD HALL          US","5.94","debit","Food & Dining","Checking","",""
"7/17/2022","POS PURCH - TST* Tryst Coffe 5812               DC Washington      TST* Tryst Coffee HUS","POS PURCH - TST* Tryst Coffe 5812               DC Washington      TST* Tryst Coffee HUS","69.63","debit","Coffee Shops","Checking","",""
"7/17/2022","POS PURCH - STREETS MARKET & 5411               DC WASHINGTON      STREETS MARKET & 24US","POS PURCH - STREETS MARKET & 5411               DC WASHINGTON      STREETS MARKET & 24US","31.30","debit","Groceries","Checking","",""
"7/17/2022","POS PURCH - TST* Petes New H 5812               DC Washington      TST* Petes New HaveUS","POS PURCH - TST* Petes New H 5812               DC Washington      TST* Petes New HaveUS","118.25","debit","Restaurants","Checking","",""
"7/17/2022","POS PURCH - SQ *SPOT OF TEA  5811               DC Washington      SQ *SPOT OF TEA - 1US","POS PURCH - SQ *SPOT OF TEA  5811               DC Washington      SQ *SPOT OF TEA - 1US","4.01","debit","Coffee Shops","Checking","",""
"7/16/2022","POS PURCH - WALGREENS STORE  5912               DC WASHINGTON      WALGREENS STORE 130US","POS PURCH - WALGREENS STORE  5912               DC WASHINGTON      WALGREENS STORE 130US","2.29","debit","Pharmacy","Checking","",""
"7/16/2022","POS PURCH - SQ *THE WYDOWN O 5814               DC Washington      SQ *THE WYDOWN ON 1US","POS PURCH - SQ *THE WYDOWN O 5814               DC Washington      SQ *THE WYDOWN ON 1US","3.75","debit","Coffee Shops","Checking","",""
"7/16/2022","Amazon","POS PURCH - Amazon Go*9C6LY2 5999               WA Amzn.com/bill   Amazon Go*9C6LY2U23US","1.29","debit","Gift","Checking","",""
"7/16/2022","POS PURCH - APPLE.COM/BILL   5735               CA 866-712-7753    APPLE.COM/BILL     US","POS PURCH - APPLE.COM/BILL   5735               CA 866-712-7753    APPLE.COM/BILL     US","5.45","debit","Electronics & Software","Checking","",""
"7/13/2022","POS PURCH - HOS CORP AMER    5814               TN NASHVILLE       HOS CORP AMER      US","POS PURCH - HOS CORP AMER    5814               TN NASHVILLE       HOS CORP AMER      US","7.39","debit","HCA Cafe","Checking","",""
"7/13/2022","POS PURCH - SHELL OIL 575273 5541               TN NASHVILLE       SHELL OIL 575273870US","POS PURCH - SHELL OIL 575273 5541               TN NASHVILLE       SHELL OIL 575273870US","4.25","debit","Gas & Fuel","Checking","",""
"7/13/2022","POS PURCH - FH* ARTECHOUSE   7991               DC WWW.ARTECHOUS   FH* ARTECHOUSE     US","POS PURCH - FH* ARTECHOUSE   7991               DC WWW.ARTECHOUS   FH* ARTECHOUSE     US","34.65","debit","Parking","Checking","",""
"7/12/2022","POS PURCH - SQ *STAR BAGEL C 5812               TN Nashville       SQ *STAR BAGEL CAFEUS","POS PURCH - SQ *STAR BAGEL C 5812               TN Nashville       SQ *STAR BAGEL CAFEUS","3.00","debit","Fast Food","Checking","",""
"7/11/2022","POS PURCH - TST* Frothy Monk 5812               TN Nashville       TST* Frothy Monkey US","POS PURCH - TST* Frothy Monk 5812               TN Nashville       TST* Frothy Monkey US","40.81","debit","Coffee Shops","Checking","",""
"7/11/2022","POS PURCH - SQ *STAR BAGEL C 5812               TN Nashville       SQ *STAR BAGEL CAFEUS","POS PURCH - SQ *STAR BAGEL C 5812               TN Nashville       SQ *STAR BAGEL CAFEUS","3.00","debit","Fast Food","Checking","",""
"7/11/2022","POS PURCH - SHELL OIL 575273 5542               TN NASHVILLE       SHELL OIL 575273870US","POS PURCH - SHELL OIL 575273 5542               TN NASHVILLE       SHELL OIL 575273870US","63.54","debit","Gas & Fuel","Checking","",""
"7/10/2022","POS PURCH - SHELL SERVICE ST 5541               TN NASHVILLE       SHELL SERVICE STATIUS","POS PURCH - SHELL SERVICE ST 5541               TN NASHVILLE       SHELL SERVICE STATIUS","4.25","debit","Gas & Fuel","Checking","",""
"7/09/2022","POS PURCH - APPLE COM BILL   4899               CA CUPERTINO       ONE APPLE PARK WAY US","POS PURCH - APPLE COM BILL   4899               CA CUPERTINO       ONE APPLE PARK WAY US","5.46","debit","Electronics & Software","Checking","",""
"7/09/2022","POS PURCH - TRADER JOE'S #73 5411               TN BELLE MEADE     90 WHITE BRIDGE RD US","POS PURCH - TRADER JOE'S #73 5411               TN BELLE MEADE     90 WHITE BRIDGE RD US","118.99","debit","Groceries","Checking","",""
"7/08/2022","Target","POS PURCH - TARGET T-2240    5411               TN Nashville       6814 Charlotte PikeUS","47.71","debit","Groceries","Checking","",""
"7/08/2022","POS PURCH - DICK'S SPORTING  5941               TN NASHVILLE       DICK'S SPORTING #28US","POS PURCH - DICK'S SPORTING  5941               TN NASHVILLE       DICK'S SPORTING #28US","131.10","debit","Sporting Goods","Checking","",""
"7/08/2022","POS PURCH - BAJA BURRITO     5812               TN NASHVILLE       BAJA BURRITO       US","POS PURCH - BAJA BURRITO     5812               TN NASHVILLE       BAJA BURRITO       US","12.36","debit","Restaurants","Checking","",""
"7/06/2022","POS PURCH - HOS CORP AMER    5814               TN NASHVILLE       HOS CORP AMER      US","POS PURCH - HOS CORP AMER    5814               TN NASHVILLE       HOS CORP AMER      US","2.28","debit","HCA Cafe","Checking","",""
"7/06/2022","ACH TRANS - ALLIANT CU      ;070122;XFER","ACH TRANS - ALLIANT CU      ;070122;XFER","900.00","debit","Mortgage & Rent","Checking","",""
"7/06/2022","ACH TRANS - USAA P&C        ;070522;AUTOPAY","ACH TRANS - USAA P&C        ;070522;AUTOPAY","118.24","debit","Auto Insurance","Checking","",""
"7/04/2022","POS PURCH - 22NASHFAIRGRND   5814               TN NASHVILLE       22NASHFAIRGRND     US","POS PURCH - 22NASHFAIRGRND   5814               TN NASHVILLE       22NASHFAIRGRND     US","37.74","debit","Restaurants","Checking","",""
"7/04/2022","POS PURCH - Spotify USA      4899               NY 877-7781161     Spotify USA        US","POS PURCH - Spotify USA      4899               NY 877-7781161     Spotify USA        US","10.94","debit","Music","Checking","",""
